,OFIPS,DFIPS,comm,quantity,startRR,ONode,DNode,ODIST
224,17031,47093,1,17978.0,555,17185.0,47033,0.0
225,17031,51710,1,2492.0,555,17185.0,51045,0.0
226,17031,51740,1,356.0,555,17185.0,51041,0.0
227,17099,34003,1,2776.8,555,17081.0,34003,0.0
228,17099,42077,1,2420.8,555,17081.0,42005,0.0
229,17163,17163,1,7796.4,555,17113.0,17113,0.0
230,17163,39135,1,6835.2,555,17113.0,39021,0.0
231,17167,17163,1,1602.0,555,17197.0,17113,0.0
232,17191,21111,1,21288.8,555,17068.0,21035,0.0
233,18051,21111,1,14240.0,555,18009.0,21035,0.0
234,18053,17163,1,7832.0,555,18030.0,17113,0.0
235,21111,17031,1,6123.2,555,21033.0,17046,0.0
236,21111,42035,1,5137.08,555,21033.0,42030,0.0
237,25017,48201,1,462.8,555,25005.0,48095,0.0
238,26163,51710,1,8544.0,555,26052.0,51045,0.0
239,28075,13095,1,3524.4,555,28026.0,13020,0.0
240,29095,42043,1,356.0,555,29023.0,42039,0.0
241,29095,51710,1,356.0,555,29023.0,51045,0.0
242,29510,42095,1,712.0,555,29049.0,42043,0.0
243,29510,51710,1,712.0,555,29049.0,51045,0.0
244,34017,17031,1,1424.0,555,34007.0,17046,0.0
245,34039,38013,1,213.6,555,34002.0,38028,0.0
246,34039,17031,1,1424.0,555,34002.0,17046,0.0
247,34039,6077,1,747.6,555,34002.0,6003,0.0
248,36019,42041,1,6194.4,555,36002.0,42024,0.0
249,36091,42071,1,3026.0,555,36018.0,42027,0.0
250,37101,17031,1,10110.4,555,37032.0,17046,0.0
251,37101,47157,1,20509.16,555,37032.0,47008,0.0
252,37119,38013,1,747.6,555,37071.0,38028,0.0
253,39035,17031,1,356.0,555,39066.0,17046,0.0
254,39035,51710,1,712.0,555,39066.0,51045,0.0
255,39049,17031,1,2492.0,555,39005.0,17046,0.0
256,39049,51710,1,10680.0,555,39005.0,51045,0.0
257,39061,51710,1,1780.0,555,39024.0,51045,0.0
258,39095,1103,1,3809.2,555,39043.0,1041,0.0
259,39095,17031,1,15614.16,555,39043.0,17046,0.0
260,39095,37097,1,3417.6,555,39043.0,37060,0.0
261,39095,42041,1,10858.0,555,39043.0,42024,0.0
262,39095,42097,1,2812.4,555,39043.0,42038,0.0
263,39095,47065,1,6870.8,555,39043.0,47023,0.0
264,42017,13121,1,356.0,555,42058.0,13082,0.0
265,42017,17031,1,14240.0,555,42058.0,17046,0.0
266,42043,17031,1,356.0,555,42039.0,17046,0.0
267,45017,17031,1,6977.6,555,45050.0,17046,0.0
268,45017,47157,1,3595.6,555,45050.0,47008,0.0
269,45045,45019,1,1424.0,555,45025.0,45001,0.0
270,47157,12031,1,2705.6,555,47013.0,12028,0.0
271,47157,13051,1,712.0,555,47013.0,13048,0.0
272,47157,13185,1,5696.0,555,47013.0,13015,0.0
