,OFIPS,DFIPS,comm,quantity,startRR,ONode,DNode,ODIST
290,13121,17031,1,3275.2,712,,,
291,13253,5131,1,6906.4,712,,,
292,13253,22071,1,3132.8,712,,,
293,17031,12086,1,21716.0,712,,,
294,17031,12031,1,58804.08,712,,,
295,17031,12083,1,5838.4,712,,,
296,17031,12086,1,25881.2,712,,,
297,17031,13121,1,2207.2,712,,,
298,17031,21111,1,10893.6,712,,,
299,17031,25005,1,2670.0,712,,,
300,17031,25013,1,14667.2,712,,,
301,17031,25027,1,72410.4,712,,,
302,17031,26049,1,2848.0,712,,,
303,17031,26081,1,3417.6,712,,,
304,17031,34017,1,26557.6,712,,,
305,17031,36067,1,783.2,712,,,
306,17031,36081,1,3132.8,712,,,
307,17031,36093,1,293607.44,712,,,
308,17031,37119,1,747.6,712,,,
309,17031,37183,1,7048.8,712,,,
310,17031,39035,1,783.2,712,,,
311,17031,39101,1,783.2,712,,,
312,17031,42055,1,2029.2,712,,,
313,17031,42101,1,2136.0,712,,,
314,17031,45017,1,3346.4,712,,,
315,17031,45063,1,17016.8,712,,,
316,17031,45075,1,6586.0,712,,,
317,17031,47037,1,747.6,712,,,
318,17031,47093,1,11107.2,712,,,
319,17031,47149,1,36490.0,712,,,
320,17031,51760,1,7333.6,712,,,
321,17031,36051,1,6016.4,712,,,
322,17163,12083,1,3417.6,712,,,
323,17163,12086,1,3560.0,712,,,
324,17163,25005,1,1566.4,712,,,
325,17163,25027,1,747.6,712,,,
326,17163,39101,1,1495.2,712,,,
327,17163,42055,1,13065.2,712,,,
328,21111,39137,1,14275.6,712,,,
329,26163,12086,1,676.4,712,,,
330,29095,34003,1,747.6,712,,,
331,34003,17163,1,747.6,712,,,
332,34017,17031,1,2171.6,712,,,
333,36029,48479,1,427.2,712,,,
334,36093,17031,1,2563.2,712,,,
335,37101,47157,1,3011.76,712,,,
336,37147,47157,1,25265.32,712,,,
337,39049,17031,1,783.2,712,,,
338,39049,53053,1,783.2,712,,,
339,39095,13211,1,3239.6,712,,,
340,39095,47037,1,3310.8,712,,,
341,39095,47149,1,3382.0,712,,,
342,39101,48085,1,996.8,712,,,
343,39101,17031,1,1210.4,712,,,
344,39173,13121,1,747.6,712,,,
345,39173,25027,1,3026.0,712,,,
346,39173,39095,1,3225.36,712,,,
347,42101,17031,1,178.0,712,,,
348,45017,17031,1,3560.0,712,,,
349,45017,47157,1,24482.12,712,,,
350,47157,13051,1,3275.2,712,,,
351,23003,23003,1,3026.0,0,,,
352,27129,17031,1,9291.6,768,,,
353,27151,17031,1,10608.8,768,,,
354,4013,17031,1,19152.8,777,,,
355,5093,6019,1,6621.6,777,,,
356,5093,6031,1,4688.52,777,,,
357,6001,17031,1,1317.2,777,,,
358,6001,20091,1,534.0,777,,,
359,6029,17031,1,151923.0,777,,,
360,6037,17031,1,76433.2,777,,,
361,6037,48201,1,783.2,777,,,
362,6049,53011,1,3453.2,777,,,
363,6071,13121,1,783.2,777,,,
364,6071,17031,1,96903.2,777,,,
365,6071,48439,1,712.0,777,,,
366,6077,17031,1,116839.2,777,,,
367,8031,8059,1,101374.56,777,,,
368,8031,48355,1,3560.0,777,,,
369,8031,53053,1,3239.6,777,,,
370,8087,48355,1,2064.8,777,,,
371,8095,55015,1,7048.8,777,,,
372,8095,29057,1,3353.52,777,,,
373,8095,38017,1,4165.2,777,,,
374,8095,48049,1,6977.6,777,,,
375,8095,48323,1,7048.8,777,,,
376,8095,53053,1,7013.2,777,,,
377,8095,48355,1,6621.6,777,,,
378,8121,53033,1,6942.0,777,,,
379,13121,6001,1,3310.8,777,,,
380,13121,6037,1,2990.4,777,,,
381,16069,17031,1,5446.8,777,,,
382,16069,53011,1,3171.96,777,,,
383,16069,53033,1,6479.2,777,,,
384,16069,53053,1,2776.8,777,,,
385,17031,6001,1,4806.0,777,,,
386,17031,6037,1,18903.6,777,,,
387,17031,6077,1,5696.0,777,,,
388,17031,8031,1,3738.0,777,,,
389,17031,20091,1,3773.6,777,,,
390,17031,41051,1,6087.6,777,,,
391,17031,48141,1,854.4,777,,,
392,17031,48201,1,3132.8,777,,,
393,17031,53033,1,1851.2,777,,,
394,17031,53077,1,7333.6,777,,,
395,17085,27003,1,6443.6,777,,,
396,17163,6037,1,1780.0,777,,,
397,17163,48323,1,11356.4,777,,,
398,17197,6001,1,14168.8,777,,,
399,17197,6037,1,2887516.0,777,,,
400,17197,53033,1,5019.6,777,,,
401,17197,53053,1,304664.8,777,,,
402,19153,6031,1,3844.8,777,,,
403,20029,48167,1,133832.86,777,,,
404,20029,48201,1,13414.08,777,,,
405,20029,48355,1,80343.86,777,,,
406,20041,48167,1,44149.34,777,,,
407,20041,48355,1,19094.06,777,,,
