,OFIPS,startRR,ONODE,ODIST
256,48341.0,777.0,48008.0,13.95848282
257,48353.0,777.0,48001.0,15.40446383
258,48369.0,777.0,35002.0,18.06748905
259,48375.0,777.0,48052.0,13.35263672
260,48437.0,777.0,48010.0,23.42094713
261,48439.0,777.0,48056.0,2.441983102
262,48445.0,777.0,48011.0,40.28963539
263,53001.0,777.0,53024.0,57.46381289
264,53021.0,777.0,53024.0,22.59751415
265,53033.0,777.0,53006.0,19.24589374
266,53053.0,777.0,53010.0,18.61381751
267,53063.0,777.0,53022.0,2.76019244
268,55031.0,777.0,55001.0,14.52423952
269,56003.0,777.0,56005.0,43.2752078
270,56015.0,777.0,56001.0,31.46815232
271,56029.0,777.0,56004.0,25.75654234
272,56043.0,777.0,56018.0,76.81272136
273,26057.0,0.0,26062.0,28.54883845
274,4013.0,802.0,4012.0,21.4135938
275,4019.0,802.0,4003.0,46.10565145
276,4027.0,802.0,4011.0,41.45211994
277,5003.0,802.0,5018.0,37.4015378
278,5017.0,802.0,5018.0,26.27076592
279,5035.0,802.0,5011.0,12.30305842
280,5043.0,802.0,5018.0,18.7108178
281,5067.0,802.0,5010.0,28.36227172
282,5095.0,802.0,5012.0,14.53068916
283,5107.0,802.0,5012.0,37.25332859
284,5111.0,802.0,5013.0,18.73714855
285,5119.0,802.0,5007.0,2.402540458
286,6001.0,802.0,6035.0,5.918953922
287,6019.0,802.0,6024.0,7.188003401
288,6029.0,802.0,6015.0,14.35583549
289,6037.0,802.0,6091.0,3.503793293
290,6071.0,802.0,6012.0,40.17440849
291,6077.0,802.0,6003.0,0.864388073
292,6093.0,802.0,6045.0,16.47954857
293,6099.0,802.0,6026.0,5.040073437
294,6113.0,802.0,6039.0,13.78808527
295,8017.0,802.0,20043.0,48.08715189
296,8023.0,802.0,8007.0,81.46751497
297,8031.0,802.0,8013.0,4.59470699
298,8105.0,802.0,8037.0,81.58292335
299,8123.0,802.0,8012.0,21.17288628
300,16007.0,802.0,16015.0,28.23492828
301,16011.0,802.0,16020.0,3.328187108
302,16019.0,802.0,16010.0,22.31698616
303,16021.0,802.0,16006.0,8.282523107
304,16027.0,802.0,16009.0,8.556951189
305,16029.0,802.0,16015.0,8.270839094
306,16031.0,802.0,16019.0,60.52565365
307,16033.0,802.0,16010.0,56.05274726
308,16043.0,802.0,16010.0,56.82003649
309,16051.0,802.0,16010.0,25.90678956
310,16053.0,802.0,16019.0,75.10722119
311,16065.0,802.0,16010.0,26.60894241
312,16067.0,802.0,16019.0,41.56732578
313,16069.0,802.0,41025.0,94.58116532
314,16075.0,802.0,16009.0,31.51187188
315,16077.0,802.0,16019.0,17.74443187
316,16083.0,802.0,32004.0,86.40175764
317,16087.0,802.0,16009.0,61.61064117
318,17031.0,802.0,17046.0,0.686675245
319,17141.0,802.0,17191.0,15.25701293
320,17163.0,802.0,17113.0,13.48985406
321,17197.0,802.0,17167.0,7.552430244
322,19045.0,802.0,19063.0,18.0754479
323,19113.0,802.0,19074.0,7.591189351
324,20097.0,802.0,20041.0,30.75501281
325,20113.0,802.0,20021.0,3.096034782
326,20119.0,802.0,20041.0,93.97268573
327,20123.0,802.0,20042.0,49.97902402
328,20141.0,802.0,20042.0,72.22006707
329,20151.0,802.0,20041.0,0.429946851
330,20155.0,802.0,20034.0,8.659393615
331,20169.0,802.0,20042.0,6.329662986
332,20173.0,802.0,20019.0,7.257888552
333,20177.0,802.0,20030.0,3.431054899
334,20193.0,802.0,20048.0,3.581786481
335,20195.0,802.0,20044.0,54.88970806
336,20199.0,802.0,20043.0,2.993323784
337,20201.0,802.0,31018.0,24.56435252
338,20209.0,802.0,20028.0,6.788973672
339,22001.0,802.0,22008.0,29.34767208
340,22019.0,802.0,22014.0,3.741646509
341,22021.0,802.0,22003.0,28.3769865
342,22051.0,802.0,22005.0,17.16776273
343,22071.0,802.0,22019.0,15.86112644
344,27013.0,802.0,27026.0,8.388125772
345,27053.0,802.0,27050.0,18.97737458
346,27123.0,802.0,27024.0,3.791301568
347,27137.0,802.0,27024.0,183.8934436
348,27139.0,802.0,27037.0,22.57649591
349,27147.0,802.0,27036.0,25.16357877
350,29095.0,802.0,29052.0,9.82181912
351,29207.0,802.0,29043.0,3.735342328
352,30001.0,802.0,30016.0,61.18697993
353,30093.0,802.0,30016.0,7.105669579
354,31001.0,802.0,31011.0,9.25917182
355,31033.0,802.0,31016.0,5.32980631
356,31079.0,802.0,31019.0,9.586253564
357,31105.0,802.0,56009.0,27.58711974
358,31111.0,802.0,31047.0,8.731581627
359,31157.0,802.0,31015.0,15.00330395
360,32013.0,802.0,32003.0,34.9992768
361,40017.0,802.0,40006.0,0.936623713
362,41035.0,802.0,41002.0,34.36667353
363,41043.0,802.0,41024.0,28.65419585
364,41045.0,802.0,16009.0,60.01502941
365,41049.0,802.0,41001.0,29.29331585
366,41051.0,802.0,41011.0,1.336008848
367,41053.0,802.0,41008.0,19.81046936
