,OID,ML_CLASS,LINK_TYPE,RR1,RR2,RR3,RR4,RR5,NO_TRACKS,SIGNAL,CAPY_CODE,FF_SPEED,East,SIGNAL_,TERRAIN_,DIRECTION_,SIDING_,MISSING_,AutoFlag_,A_NODE,B_NODE,LENGTH,oldID,RR6,AutoFlag1_,AutoFlag2_,AutoFlag3_,AutoFlag4_,AutoFlag5_,AutoFlag6_,ID,qty
2508,-1,0,2,400,777,802,0,0,1,1,2,55,0,CTC,FLAT,BI,5,0,6,48062,48080,6.61854677358,0,0,1,1,1,1,1,1,4848144,68985208.0
2509,-1,0,2,400,802,777,0,0,1,1,7,55,0,CTC,HILLY,BI,15,0,6,48062,48034,1.4012747825,0,0,1,1,1,1,1,1,4848145,68985192.0
2510,-1,0,2,400,777,802,0,0,1,1,2,50,0,CTC,FLAT,BI,5,0,6,48064,48065,1.68188217017,0,0,1,1,1,1,1,1,4848146,49683844.0
2511,-1,0,2,400,777,802,0,0,1,1,2,50,0,CTC,FLAT,BI,5,0,6,48064,48103,1.12252818786,0,0,1,1,1,1,1,1,4848147,98894104.0
2512,-1,0,2,400,802,0,0,0,1,1,2,55,0,CTC,FLAT,BI,5,0,5,48097,48066,3.26895781576,0,0,1,1,1,1,1,0,4848148,77720032.0
2513,-1,0,2,777,802,0,0,0,1,4,4,20,0,NON,FLAT,BI,25,0,0,48066,48065,1.08252008592,0,0,0,0,0,0,0,0,4848149,28397126.0
2514,-1,0,2,400,0,0,0,0,1,4,4,55,0,NON,FLAT,BI,25,0,0,48068,48067,20.5094774656,0,0,0,0,0,0,0,0,4848150,4444863.0
2515,-1,0,2,400,0,0,0,0,1,1,2,55,0,CTC,FLAT,BI,5,0,5,48067,48064,0.502493072046,0,0,1,1,1,1,1,0,4848151,48912268.0
2516,-1,0,2,400,0,0,0,0,1,1,2,55,0,CTC,FLAT,BI,5,0,5,48066,48067,0.773923891793,0,0,1,1,1,1,1,0,4848152,44728804.0
2517,-1,0,2,802,0,0,0,0,1,4,8,25,0,NON,HILLY,BI,25,0,0,31036,31037,55.1094674342,0,0,0,0,0,0,0,0,3131045,39798796.0
2518,-1,0,2,802,400,0,0,0,1,2,8,50,0,ABS,HILLY,BI,25,0,0,31036,31046,42.8673476757,0,0,0,0,0,0,0,0,3131046,24974164.0
2519,-1,0,3,777,0,0,0,0,2,1,1,60,0,CTC,FLAT,SD,-99,0,5,31037,31032,1.66054447995,0,0,1,1,1,1,1,0,3131047,169705344.0
2520,-1,0,3,400,777,802,316,103,2,1,1,65,0,CTC,FLAT,SD,-99,0,6,19050,19026,1.25502945969,0,0,1,1,1,1,1,1,1919065,68600816.0
2521,-1,0,2,777,0,0,0,0,1,4,4,25,0,NON,FLAT,BI,25,0,0,19051,19048,2.02632230969,0,0,0,0,0,0,0,0,1919066,19042056.0
2522,-1,0,3,400,777,802,316,0,2,1,1,65,0,CTC,FLAT,SD,-99,0,6,19050,19051,0.0869601712899,0,0,1,1,1,1,1,1,1919067,21926540.0
2523,-1,0,3,400,777,802,316,0,2,1,1,65,0,CTC,FLAT,SD,-99,0,6,31027,19050,1.92196316401,0,0,1,1,1,1,1,1,3119001,86556200.0
2524,-1,0,3,802,0,0,0,0,2,1,5,65,0,CTC,HILLY,SD,-99,0,0,31038,31045,3.39260240692,0,0,0,0,0,0,0,0,3131048,8887563.0
2525,-1,0,3,777,802,0,0,0,2,1,1,65,0,CTC,FLAT,SD,-99,0,6,31038,31028,1.35228336136,0,0,1,1,1,1,1,1,3131049,9689174.0
2526,-1,0,3,400,777,802,316,0,2,1,1,65,0,CTC,FLAT,SD,-99,0,6,31027,31026,0.173504077894,0,0,1,1,1,1,1,1,3131050,49069772.0
2527,-1,0,2,103,0,0,0,0,1,2,2,45,0,ABS,FLAT,BI,5,0,5,19052,19053,2.46669072029,0,0,1,1,1,1,1,0,1919068,44571780.0
2528,-1,0,2,777,103,0,0,0,1,2,2,45,0,ABS,FLAT,BI,5,0,6,19004,19052,0.329416539895,0,0,1,1,1,1,1,1,1919069,58936856.0
2529,-1,0,3,802,0,0,0,0,2,1,5,65,0,CTC,HILLY,SD,-99,0,0,49009,49003,36.0070003927,0,0,0,0,0,0,0,0,4949011,49611444.0
2530,-1,0,2,103,802,0,0,0,1,1,5,35,0,CTC,HILLY,BI,-99,0,1,17033,17054,7.55790792635,0,0,0,0,1,0,0,0,1717204,150375680.0
2531,-1,0,4,105,0,0,0,0,2,1,1,40,0,CTC,FLAT,BI,-99,0,0,17021,17034,12.1966867226,0,0,0,0,0,0,0,0,1717205,258601568.0
2532,-1,0,2,103,802,0,0,0,1,4,1,35,0,NON,FLAT,BI,-99,0,1,17032,17034,5.30837810113,0,0,0,0,1,0,0,0,1717206,143331744.0
2533,-1,0,2,105,802,879,0,0,2,2,5,30,0,ABS,HILLY,BI,-99,0,6,17034,17033,1.51119823596,0,0,1,1,1,1,1,1,1717207,182633120.0
2534,-1,0,2,105,0,0,0,0,2,2,5,30,0,ABS,HILLY,BI,-99,0,0,17053,55017,18.0650908123,0,0,0,0,0,0,0,0,1755004,143605664.0
2535,-1,0,2,103,0,0,0,0,1,1,6,50,0,CTC,HILLY,BI,5,0,0,17032,17035,6.05639922987,0,0,0,0,0,0,0,0,1717208,10021288.0
2536,-1,0,2,879,0,0,0,0,1,4,8,25,0,NON,HILLY,BI,25,0,0,17053,17035,7.60762462824,0,0,0,0,0,0,0,0,1717209,10174696.0
2537,-1,0,2,879,0,0,0,0,1,4,8,25,0,NON,HILLY,BI,25,0,0,17035,55026,58.9346077843,0,0,0,0,0,0,0,0,1755005,10161928.0
2538,-1,0,2,105,0,0,0,0,1,4,8,30,0,NON,HILLY,BI,25,0,0,55012,55003,32.9806426456,0,0,0,0,0,0,0,0,5555015,22226656.0
2539,-1,0,2,879,0,0,0,0,1,4,8,25,0,NON,HILLY,BI,25,0,0,55011,55013,40.0855841227,0,0,0,0,0,0,0,0,5555016,22298946.0
2540,-1,0,2,105,0,0,0,0,1,4,8,30,0,NON,HILLY,BI,25,0,5,55013,55012,2.58591008767,0,0,1,1,1,1,1,0,5555017,22226656.0
2541,-1,0,2,879,0,0,0,0,1,4,8,25,0,NON,HILLY,BI,25,0,0,55014,55013,95.0354282851,0,0,0,0,0,0,0,0,5555018,1855296.5
2542,-1,0,2,777,105,0,0,0,1,2,6,50,0,ABS,HILLY,BI,5,0,0,27021,55015,4.06124251482,0,0,0,0,0,0,0,0,2755002,80010208.0
2543,-1,0,3,105,777,0,0,0,2,1,1,60,0,CTC,FLAT,SD,-99,0,6,27048,27030,0.110333611079,0,0,1,1,1,1,1,1,2727062,221709152.0
2544,-1,0,3,105,0,0,0,0,1,1,5,50,0,CTC,HILLY,SD,-99,0,5,27050,27052,6.93939161111,0,0,1,1,1,1,1,0,2727063,104810216.0
2545,-1,0,3,777,105,0,0,0,1,1,5,50,0,CTC,HILLY,SD,-99,0,5,27005,27047,1.09573491171,0,0,1,1,1,1,1,0,2727064,196939472.0
2546,-1,0,3,777,105,0,0,0,1,1,5,50,0,CTC,HILLY,SD,-99,0,5,27049,27005,3.23965123893,0,0,1,1,1,1,1,0,2727065,237318240.0
2547,-1,0,3,400,777,802,0,0,2,1,1,65,0,CTC,FLAT,SD,-99,0,6,31039,31026,1.66833512233,0,0,1,1,1,1,1,1,3131051,16630255.0
2548,-1,0,2,777,0,0,0,0,1,1,7,50,0,CTC,HILLY,BI,15,0,0,31024,31039,15.101969869,0,0,0,0,0,0,0,0,3131052,16644833.0
2549,-1,0,2,777,802,0,0,0,1,1,6,55,0,CTC,HILLY,BI,5,0,6,41017,41012,0.183541315916,0,0,1,1,1,1,1,1,4141020,52435068.0
2550,-1,0,2,320,0,0,0,0,1,4,7,25,0,NON,HILLY,BI,15,0,0,41018,41007,10.2390704982,0,0,0,0,0,0,0,0,4141021,1926063.4
2551,-1,0,2,320,0,0,0,0,1,4,7,25,0,NON,HILLY,BI,15,0,0,41019,41018,65.0155735953,0,0,0,0,0,0,0,0,4141022,888841.5
2552,-1,0,2,320,0,0,0,0,1,4,7,25,0,NON,HILLY,BI,15,0,0,41020,41018,40.9268789501,0,0,0,0,0,0,0,0,4141023,912637.4
2553,-1,0,2,320,0,0,0,0,1,4,7,25,0,NON,HILLY,BI,15,0,0,41021,41020,7.52574775492,0,0,0,0,0,0,0,0,4141024,0.0
2554,-1,0,2,777,0,0,0,0,1,1,6,55,0,CTC,HILLY,BI,5,0,5,41022,41009,9.0924966734,0,0,1,1,1,1,1,0,4141025,0.0
2555,-1,0,2,320,0,0,0,0,1,4,7,25,0,NON,HILLY,BI,15,0,0,41022,41008,35.9960861577,0,0,0,0,0,0,0,0,4141026,0.0
2556,-1,0,4,777,802,0,0,0,2,1,5,65,0,CTC,HILLY,BI,-99,0,6,56014,56008,0.78042202422,0,0,1,1,1,1,1,1,5656019,258210240.0
