,ID,A_NODE,B_NODE,LENGTH,TTIME,CAPACITY,P1,P2,GAMMA,TADJ,ML_CLASS,LINK_TYPE,NO_RRS,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8
1810,30015,30022,30023,44.93696,107.848704,8.3,0.052654,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1811,30016,30024,30002,25.85427,34.47236,13.8,0.031592,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1812,30017,30001,30024,71.91026,95.8803466667,13.8,0.031592,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1813,30018,30024,30025,27.97101,111.88404,8.3,0.052654,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1814,30019,30001,30012,38.91668,58.37502,9.9,0.032873,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1815,30020,30008,30026,83.17761,90.7392109091,21.6,0.020219,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1816,30021,30026,30009,92.27484,100.663461818,21.6,0.020219,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1817,30022,30026,30027,29.00021,43.500315,8.3,0.052654,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1818,56001,56018,56024,103.20073,112.582614545,43.2,0.01011,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1819,30023,30008,56018,138.70311,151.312483636,43.2,0.01011,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1820,56002,56018,30028,22.67727,45.35454,43.2,0.01011,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1821,46005,46013,56007,110.62777,120.68484,216.0,0.002022,7.879387,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1822,56003,56004,56005,41.90536,100.572864,8.3,0.052654,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1823,8004,8004,8006,62.43643,68.1124690909,21.6,0.020219,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1824,35004,35010,8003,133.76599,229.313125714,40.8,0.008346,23.200626,32.5,0,0,2,1,777,0,0,0,0,0,0,0
1825,8005,8003,8004,79.81887,87.0751309091,40.8,0.008346,23.200626,32.5,0,0,2,1,777,0,0,0,0,0,0,0
1826,35005,35005,35010,143.0415,245.214,40.8,0.008346,23.200626,32.5,0,0,2,1,777,0,0,0,0,0,0,0
1827,35006,35004,35005,14.0999,15.3817090909,40.8,0.008346,23.200626,32.5,0,0,2,1,777,0,0,0,0,0,0,0
1828,35007,35008,35006,108.77101,100.404009231,216.0,0.002022,7.879387,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1829,35008,35008,35003,128.4306,118.551323077,216.0,0.002022,7.879387,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1830,35009,35006,35005,17.47093,19.0591963636,86.0,0.003787,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1831,35010,35007,48024,74.38721,99.1829466667,13.0,0.033698,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1832,35011,35006,35007,147.4352,196.580266667,13.0,0.033698,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1833,35012,35006,35004,10.03945,8.60524285714,216.0,0.002022,7.879387,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1834,35013,35004,35011,140.29435,120.2523,216.0,0.002022,7.879387,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1835,35014,35011,35012,20.43498,122.60988,13.8,0.031592,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1836,4001,4009,35011,119.26221,102.224751429,216.0,0.002022,7.879387,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1837,6001,6059,4005,68.849,63.5529230769,216.0,0.002022,7.879387,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1838,4002,4001,4005,133.53618,123.264166154,216.0,0.002022,7.879387,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1839,4003,4009,4001,89.15572,82.2975876923,216.0,0.002022,7.879387,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1840,4004,4004,4001,150.6881,258.322457143,8.3,0.052654,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1841,4005,4002,4004,58.29639,99.9366685714,8.3,0.052654,15.758774,25.0,0,0,2,2,777,70,0,0,0,0,0,0
1842,6002,6090,6012,87.32284,80.6056984615,216.0,0.002022,7.879387,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1843,53001,53021,53017,95.32522,285.97566,8.3,0.052654,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1844,53002,53017,53018,43.51226,130.53678,8.3,0.052654,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1845,53003,53001,53020,44.33977,53.207724,43.2,0.01011,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1846,53004,53001,53019,47.93116,57.517392,43.2,0.01011,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1847,53005,53029,53004,35.55423,42.665076,43.2,0.01011,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1848,53006,53001,53029,0.13449,0.161388,43.2,0.01011,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1849,53007,53008,53009,7.05884,11.4467675676,40.8,0.008346,23.200626,32.5,0,0,2,1,777,0,0,0,0,0,0,0
1850,53008,53008,53030,111.78889,181.279281081,40.8,0.008346,23.200626,32.5,0,0,2,1,777,0,0,0,0,0,0,0
1851,53009,53005,53031,32.39208,38.870496,216.0,0.002022,7.879387,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1852,53010,53030,53016,170.50332,186.003621818,72.0,0.006066,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1853,53011,53024,53022,144.15464,157.259607273,72.0,0.006066,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1854,53012,53032,53026,123.24879,164.33172,13.8,0.031592,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1855,53013,53010,53032,102.7246,176.099314286,13.1,0.026081,23.200626,32.5,0,0,2,1,777,0,0,0,0,0,0,0
